Timestamp,Temperature_Celsius,Relative_Humidity,Date,Season,Wind,ApparentTemperature
2021-02-25 18:00:00,21.0,30.0,2021-02-25 18:00:00,winter,0.15,21.6
2021-02-26 00:00:00,20.0,33.0,2021-02-26 00:00:00,winter,0.15,20.7
2021-02-26 06:00:00,23.0,34.0,2021-02-26 06:00:00,winter,0.15,24.4
2021-02-26 12:00:00,24.0,31.0,2021-02-26 12:00:00,winter,0.15,25.3
2021-02-26 18:00:00,22.0,28.0,2021-02-26 18:00:00,winter,0.15,22.6
2021-02-27 00:00:00,21.0,32.0,2021-02-27 00:00:00,winter,0.15,21.8
2021-02-27 06:00:00,21.0,33.0,2021-02-27 06:00:00,winter,0.15,21.9
2021-02-27 12:00:00,22.0,41.0,2021-02-27 12:00:00,winter,0.15,23.9
2021-02-27 18:00:00,21.0,38.0,2021-02-27 18:00:00,winter,0.15,22.3
2021-02-28 00:00:00,23.0,29.0,2021-02-28 00:00:00,winter,0.15,23.9
2021-02-28 06:00:00,22.0,28.0,2021-02-28 06:00:00,winter,0.15,22.6
2021-02-28 12:00:00,23.0,32.0,2021-02-28 12:00:00,winter,0.15,24.2
2021-02-28 18:00:00,21.0,40.0,2021-02-28 18:00:00,winter,0.15,22.5
2021-03-01 00:00:00,21.0,40.0,2021-03-01 00:00:00,winter,0.15,22.5
2021-03-01 06:00:00,23.0,33.0,2021-03-01 06:00:00,winter,0.15,24.3
2021-03-01 12:00:00,23.0,41.0,2021-03-01 12:00:00,winter,0.15,25.1
2021-03-01 18:00:00,23.0,44.0,2021-03-01 18:00:00,winter,0.15,25.4
2021-03-02 00:00:00,21.0,54.0,2021-03-02 00:00:00,winter,0.15,23.8
2021-03-02 06:00:00,21.0,59.0,2021-03-02 06:00:00,winter,0.15,24.3
2021-03-02 12:00:00,23.0,45.0,2021-03-02 12:00:00,winter,0.15,25.5
2021-03-02 18:00:00,23.0,39.0,2021-03-02 18:00:00,winter,0.15,24.9
2021-03-03 00:00:00,21.0,38.0,2021-03-03 00:00:00,winter,0.15,22.3
2021-03-03 06:00:00,20.0,37.0,2021-03-03 06:00:00,winter,0.15,21.1
2021-03-03 12:00:00,23.0,33.0,2021-03-03 12:00:00,winter,0.15,24.3
2021-03-03 18:00:00,24.0,29.0,2021-03-03 18:00:00,winter,0.15,25.0
2021-03-04 00:00:00,21.0,31.0,2021-03-04 00:00:00,winter,0.15,21.7
2021-03-04 06:00:00,23.0,33.0,2021-03-04 06:00:00,winter,0.15,24.3
2021-03-04 12:00:00,24.0,35.0,2021-03-04 12:00:00,winter,0.15,25.7
2021-03-04 18:00:00,24.0,36.0,2021-03-04 18:00:00,winter,0.15,25.8
2021-03-05 00:00:00,21.0,39.0,2021-03-05 00:00:00,winter,0.15,22.4
2021-03-05 06:00:00,22.0,38.0,2021-03-05 06:00:00,winter,0.15,23.6
2021-03-05 12:00:00,24.0,40.0,2021-03-05 12:00:00,winter,0.15,26.3
2021-03-05 18:00:00,24.0,53.0,2021-03-05 18:00:00,winter,0.15,27.7
2021-03-06 00:00:00,22.0,52.0,2021-03-06 00:00:00,winter,0.15,24.9
2021-03-06 06:00:00,21.0,53.0,2021-03-06 06:00:00,winter,0.15,23.7
2021-03-06 12:00:00,22.0,49.0,2021-03-06 12:00:00,winter,0.15,24.7
2021-03-06 18:00:00,23.0,43.0,2021-03-06 18:00:00,winter,0.15,25.3
2021-03-07 00:00:00,22.0,37.0,2021-03-07 00:00:00,winter,0.15,23.5
2021-03-07 06:00:00,21.0,30.0,2021-03-07 06:00:00,winter,0.15,21.6
2021-03-07 12:00:00,21.0,36.0,2021-03-07 12:00:00,winter,0.15,22.2
2021-03-07 18:00:00,23.0,38.0,2021-03-07 18:00:00,winter,0.15,24.8
2021-03-08 00:00:00,21.0,40.0,2021-03-08 00:00:00,winter,0.15,22.5
2021-03-08 06:00:00,20.0,42.0,2021-03-08 06:00:00,winter,0.15,21.5
2021-03-08 12:00:00,22.0,37.0,2021-03-08 12:00:00,winter,0.15,23.5
2021-03-08 18:00:00,25.0,31.0,2021-03-08 18:00:00,winter,0.15,26.5
2021-03-09 00:00:00,23.0,35.0,2021-03-09 00:00:00,winter,0.15,24.5
2021-03-09 06:00:00,21.0,39.0,2021-03-09 06:00:00,winter,0.15,22.4
2021-03-09 12:00:00,21.0,40.0,2021-03-09 12:00:00,winter,0.15,22.5
2021-03-09 18:00:00,23.0,41.0,2021-03-09 18:00:00,winter,0.15,25.1
2021-03-10 00:00:00,21.0,45.0,2021-03-10 00:00:00,winter,0.15,23.0
2021-03-10 06:00:00,22.0,42.0,2021-03-10 06:00:00,winter,0.15,24.0
2021-03-10 12:00:00,24.0,35.0,2021-03-10 12:00:00,winter,0.15,25.7
2021-03-10 18:00:00,22.0,40.0,2021-03-10 18:00:00,winter,0.15,23.8
2021-03-11 00:00:00,20.0,39.0,2021-03-11 00:00:00,winter,0.15,21.2
2021-03-11 06:00:00,21.0,33.0,2021-03-11 06:00:00,winter,0.15,21.9
2021-03-11 12:00:00,24.0,37.0,2021-03-11 12:00:00,winter,0.15,25.9
2021-03-11 18:00:00,23.0,43.0,2021-03-11 18:00:00,winter,0.15,25.3
2021-03-12 00:00:00,21.0,44.0,2021-03-12 00:00:00,winter,0.15,22.9
2021-03-12 06:00:00,23.0,38.0,2021-03-12 06:00:00,winter,0.15,24.8
2021-03-12 12:00:00,23.0,43.0,2021-03-12 12:00:00,winter,0.15,25.3
2021-03-12 18:00:00,23.0,53.0,2021-03-12 18:00:00,winter,0.15,26.4
2021-03-13 00:00:00,22.0,52.0,2021-03-13 00:00:00,winter,0.15,24.9
2021-03-13 06:00:00,21.0,53.0,2021-03-13 06:00:00,winter,0.15,23.7
2021-03-13 12:00:00,22.0,52.0,2021-03-13 12:00:00,winter,0.15,24.9
2021-03-13 18:00:00,23.0,54.0,2021-03-13 18:00:00,winter,0.15,26.5
2021-03-14 00:00:00,23.0,46.0,2021-03-14 00:00:00,winter,0.15,25.6
2021-03-14 06:00:00,23.0,34.0,2021-03-14 06:00:00,winter,0.15,24.4
2021-03-14 12:00:00,22.0,32.0,2021-03-14 12:00:00,winter,0.15,23.0
2021-03-14 18:00:00,21.0,30.0,2021-03-14 18:00:00,winter,0.15,21.6
2021-03-15 00:00:00,20.0,30.0,2021-03-15 00:00:00,winter,0.15,20.4
2021-03-15 06:00:00,21.0,32.0,2021-03-15 06:00:00,winter,0.15,21.8
2021-03-15 12:00:00,22.0,34.0,2021-03-15 12:00:00,winter,0.15,23.2
2021-03-15 18:00:00,23.0,40.0,2021-03-15 18:00:00,winter,0.15,25.0
2021-03-16 00:00:00,21.0,39.0,2021-03-16 00:00:00,winter,0.15,22.4
2021-03-16 06:00:00,23.0,33.0,2021-03-16 06:00:00,winter,0.15,24.3
2021-03-16 12:00:00,22.0,37.0,2021-03-16 12:00:00,winter,0.15,23.5
2021-03-16 18:00:00,23.0,49.0,2021-03-16 18:00:00,winter,0.15,25.9
2021-03-17 00:00:00,21.0,47.0,2021-03-17 00:00:00,winter,0.15,23.2
2021-03-17 06:00:00,21.0,41.0,2021-03-17 06:00:00,winter,0.15,22.6
2021-03-17 12:00:00,22.0,40.0,2021-03-17 12:00:00,winter,0.15,23.8
2021-03-17 18:00:00,23.0,35.0,2021-03-17 18:00:00,winter,0.15,24.5
2021-03-18 00:00:00,21.0,30.0,2021-03-18 00:00:00,winter,0.15,21.6
2021-03-18 06:00:00,24.0,29.0,2021-03-18 06:00:00,winter,0.15,25.0
2021-03-18 12:00:00,24.0,24.0,2021-03-18 12:00:00,winter,0.15,24.5
2021-03-18 18:00:00,24.0,30.0,2021-03-18 18:00:00,winter,0.15,25.2
2021-03-19 00:00:00,22.0,32.0,2021-03-19 00:00:00,winter,0.15,23.0
2021-03-19 06:00:00,23.0,31.0,2021-03-19 06:00:00,winter,0.15,24.1
2021-03-19 12:00:00,23.0,29.0,2021-03-19 12:00:00,winter,0.15,23.9
2021-03-19 18:00:00,22.0,39.0,2021-03-19 18:00:00,winter,0.15,23.7
2021-03-20 00:00:00,21.0,49.0,2021-03-20 00:00:00,spring,0.1,23.4
2021-03-20 06:00:00,21.0,46.0,2021-03-20 06:00:00,spring,0.1,23.1
2021-03-20 12:00:00,22.0,49.0,2021-03-20 12:00:00,spring,0.1,24.7
2021-03-20 18:00:00,22.0,60.0,2021-03-20 18:00:00,spring,0.1,25.7
2021-03-21 00:00:00,22.0,62.0,2021-03-21 00:00:00,spring,0.1,25.9
2021-03-21 06:00:00,22.0,64.0,2021-03-21 06:00:00,spring,0.1,26.1
2021-03-21 12:00:00,23.0,64.0,2021-03-21 12:00:00,spring,0.1,27.5
2021-03-21 18:00:00,22.0,50.0,2021-03-21 18:00:00,spring,0.1,24.8
2021-03-22 00:00:00,21.0,43.0,2021-03-22 00:00:00,spring,0.1,22.8
2021-03-22 06:00:00,21.0,39.0,2021-03-22 06:00:00,spring,0.1,22.4
2021-03-22 12:00:00,24.0,37.0,2021-03-22 12:00:00,spring,0.1,25.9
2021-03-22 18:00:00,22.0,41.0,2021-03-22 18:00:00,spring,0.1,23.9
2021-03-23 00:00:00,20.0,48.0,2021-03-23 00:00:00,spring,0.1,22.0
2021-03-23 06:00:00,23.0,43.0,2021-03-23 06:00:00,spring,0.1,25.3
2021-03-23 12:00:00,23.0,40.0,2021-03-23 12:00:00,spring,0.1,25.0
2021-03-23 18:00:00,23.0,41.0,2021-03-23 18:00:00,spring,0.1,25.1
2021-03-24 00:00:00,20.0,40.0,2021-03-24 00:00:00,spring,0.1,21.3
2021-03-24 06:00:00,23.0,35.0,2021-03-24 06:00:00,spring,0.1,24.5
2021-03-24 12:00:00,22.0,44.0,2021-03-24 12:00:00,spring,0.1,24.2
2021-03-24 18:00:00,22.0,50.0,2021-03-24 18:00:00,spring,0.1,24.8
2021-03-25 00:00:00,21.0,46.0,2021-03-25 00:00:00,spring,0.1,23.1
2021-03-25 06:00:00,23.0,43.0,2021-03-25 06:00:00,spring,0.1,25.3
2021-03-25 12:00:00,22.0,50.0,2021-03-25 12:00:00,spring,0.1,24.8
2021-03-25 18:00:00,25.0,47.0,2021-03-25 18:00:00,spring,0.1,28.4
2021-03-26 00:00:00,21.0,50.0,2021-03-26 00:00:00,spring,0.1,23.5
2021-03-26 06:00:00,22.0,47.0,2021-03-26 06:00:00,spring,0.1,24.5
2021-03-26 12:00:00,22.0,43.0,2021-03-26 12:00:00,spring,0.1,24.1
2021-03-26 18:00:00,22.0,39.0,2021-03-26 18:00:00,spring,0.1,23.7
